Name,Type,Total,Within,Sewer,Septic,Othersys,Withslab,Withoutslab,NSopen,NShuman,NSanimal,Without,Public,Open
District - Rangareddy,Rural,"352,247","153,274","28,826","63,404","4,007","50,657","4,213",904,250,"1,013","198,973","6,162","192,811"
District - Rangareddy,Urban,"911,467","874,985","622,061","189,038","8,996","29,481","1,695","14,576","3,527","5,611","36,482","4,931","31,551"
District - Mahbubnagar,Total,"873,859","231,015","29,552","141,618","10,240","31,045","9,636","5,428",169,"3,327","642,844","21,696","621,148"
District - Mahbubnagar,Rural,"750,446","134,686","12,400","76,586","6,682","26,354","8,906","1,187",150,"2,421","615,760","18,518","597,242"
District - Mahbubnagar,Urban,"123,413","96,329","17,152","65,032","3,558","4,691",730,"4,241",19,906,"27,084","3,178","23,906"
District - Nalgonda,Total,"875,432","355,700","27,818","249,802","12,555","45,240","12,430","6,223",45,"1,587","519,732","7,664","512,068"
District - Nalgonda,Rural,"720,569","230,023","11,587","154,539","9,878","40,148","11,786",828,45,"1,212","490,546","6,692","483,854"
District - Nalgonda,Urban,"154,863","125,677","16,231","95,263","2,677","5,092",644,"5,395",0,375,"29,186",972,"28,214"
District - Warangal,Total,"888,553","388,583","37,565","196,367","19,653","87,332","18,739","26,831",112,"1,984","499,970","8,309","491,661"
District - Warangal,Rural,"652,254","193,970","12,332","79,768","10,572","71,498","16,944","1,273",81,"1,502","458,284","6,333","451,951"
District - Warangal,Urban,"236,299","194,613","25,233","116,599","9,081","15,834","1,795","25,558",31,482,"41,686","1,976","39,710"
District - Khammam,Total,"747,586","360,531","30,015","283,100","7,153","30,896","6,658","1,518",132,"1,059","387,055","7,377","379,678"
District - Khammam,Rural,"578,490","216,183","14,092","163,924","5,300","25,356","6,213",436,83,779,"362,307","6,617","355,690"
District - Khammam,Urban,"169,096","144,348","15,923","119,176","1,853","5,540",445,"1,082",49,280,"24,748",760,"23,988"
District - Srikakulam,Total,"689,323","146,386","8,702","118,213","3,980","13,070",469,"1,091",39,822,"542,937","9,203","533,734"
District - Srikakulam,Rural,"580,048","74,367","4,447","55,245","3,234","10,051",395,563,10,422,"505,681","7,777","497,904"
District - Srikakulam,Urban,"109,275","72,019","4,255","62,968",746,"3,019",74,528,29,400,"37,256","1,426","35,830"
District - Vizianagaram,Total,"596,605","131,289","8,936","113,154","1,608","5,755",433,"1,019",0,384,"465,316","8,604","456,712"
District - Vizianagaram,Rural,"475,145","50,645","2,930","42,526","1,015","3,108",276,562,0,228,"424,500","4,762","419,738"
District - Vizianagaram,Urban,"121,460","80,644","6,006","70,628",593,"2,647",157,457,0,156,"40,816","3,842","36,974"
District - Visakhapatnam,Total,"1,126,166","577,722","133,702","405,759","7,943","21,109","1,007","4,339",709,"3,154","548,444","43,612","504,832"
District - Visakhapatnam,Rural,"583,474","124,676","8,921","95,121","4,916","13,027",664,"1,241",0,786,"458,798","18,581","440,217"
District - Visakhapatnam,Urban,"542,692","453,046","124,781","310,638","3,027","8,082",343,"3,098",709,"2,368","89,646","25,031","64,615"
District - East Godavari,Total,"1,407,410","800,168","74,804","657,821","11,341","48,449","1,746","2,058",966,"2,983","607,242","96,640","510,602"
District - East Godavari,Rural,"1,063,044","499,628","28,749","416,269","9,855","39,469","1,474","1,200",591,"2,021","563,416","81,932","481,484"
District - East Godavari,Urban,"344,366","300,540","46,055","241,552","1,486","8,980",272,858,375,962,"43,826","14,708","29,118"
District - West Godavari,Total,"1,075,780","694,857","46,296","606,105","9,009","28,063","2,085","1,232",547,"1,520","380,923","73,060","307,863"
District - West Godavari,Rural,"870,607","512,818","23,120","453,135","7,599","24,704","1,879",767,330,"1,284","357,789","64,563","293,226"
District - West Godavari,Urban,"205,173","182,039","23,176","152,970","1,410","3,359",206,465,217,236,"23,134","8,497","14,637"
District - Krishna,Total,"1,227,257","863,417","173,527","639,792","7,302","29,319","3,439","4,774","1,141","4,123","363,840","12,361","351,479"
District - Krishna,Rural,"754,361","423,638","17,175","380,661","3,195","16,578","3,054","1,163",316,"1,496","330,723","7,483","323,240"
District - Krishna,Urban,"472,896","439,779","156,352","259,131","4,107","12,741",385,"3,611",825,"2,627","33,117","4,878","28,239"
District - Guntur,Total,"1,287,831","762,845","80,418","612,819","4,774","56,491","2,361","2,660",835,"2,487","524,986","11,699","513,287"
District - Guntur,Rural,"877,109","408,253","16,345","344,275","2,675","39,858","1,726","1,000",490,"1,884","468,856","8,799","460,057"
District - Guntur,Urban,"410,722","354,592","64,073","268,544","2,099","16,633",635,"1,660",345,603,"56,130","2,900","53,230"
District - Prakasam,Total,"857,276","321,332","16,486","257,380","5,090","37,315","1,830","1,463",127,"1,641","535,944","9,218","526,726"
District - Prakasam,Rural,"692,542","193,809","7,892","151,636","4,295","26,475","1,643",721,127,"1,020","498,733","7,361","491,372"
District - Prakasam,Urban,"164,734","127,523","8,594","105,744",795,"10,840",187,742,0,621,"37,211","1,857","35,354"
District - Sri Potti Sriramulu Nellore,Total,"772,625","306,095","36,390","235,796","6,140","20,699","1,277","4,929",25,839,"466,530","6,671","459,859"
District - Sri Potti Sriramulu Nellore,Rural,"567,914","144,760","9,359","114,367","3,118","15,519","1,107",837,25,428,"423,154","4,437","418,717"
District - Sri Potti Sriramulu Nellore,Urban,"204,711","161,335","27,031","121,429","3,022","5,180",170,"4,092",0,411,"43,376","2,234","41,142"
District - Y.s.r.,Total,"703,136","314,726","51,250","143,310","7,572","102,545","3,751","4,881",330,"1,087","388,410","18,340","370,070"
District - Y.s.r.,Rural,"475,919","135,062","16,663","50,808","3,408","59,215","2,878","1,115",87,888,"340,857","14,038","326,819"
District - Y.s.r.,Urban,"227,217","179,664","34,587","92,502","4,164","43,330",873,"3,766",243,199,"47,553","4,302","43,251"
District - Kurnool,Total,"877,182","353,289","50,740","227,686","8,162","56,665","1,450","4,613",153,"3,820","523,893","86,398","437,495"
District - Kurnool,Rural,"630,786","174,207","18,899","98,888","4,959","45,645","1,226","1,749",82,"2,759","456,579","61,305","395,274"
District - Kurnool,Urban,"246,396","179,082","31,841","128,798","3,203","11,020",224,"2,864",71,"1,061","67,314","25,093","42,221"
District - Anantapur,Total,"961,165","353,948","68,424","155,840","11,188","94,055","2,382","19,296",351,"2,412","607,217","26,166","581,051"
District - Anantapur,Rural,"698,439","153,780","18,524","65,028","4,255","61,643","1,848","1,279",146,"1,057","544,659","19,319","525,340"
District - Anantapur,Urban,"262,726","200,168","49,900","90,812","6,933","32,412",534,"18,017",205,"1,355","62,558","6,847","55,711"
District - Chittoor,Total,"1,022,116","382,377","95,103","230,931","11,823","30,668","1,631","10,381",185,"1,655","639,739","11,375","628,364"
District - Chittoor,Rural,"727,635","142,429","19,785","88,242","6,724","22,464","1,369","3,097",95,653,"585,206","8,887","576,319"
District - Chittoor,Urban,"294,481","239,948","75,318","142,689","5,099","8,204",262,"7,284",90,"1,002","54,533","2,488","52,045"
STATE - ARUNACHAL PRADESH,Total,"261,614","162,116","15,600","58,588","26,277","11,566","37,582","1,865","1,059","9,579","99,498","8,445","91,053"
STATE - ARUNACHAL PRADESH,Rural,"195,723","103,139","6,525","23,258","21,353","8,050","31,919","1,635",959,"9,440","92,584","5,968","86,616"
STATE - ARUNACHAL PRADESH,Urban,"65,891","58,977","9,075","35,330","4,924","3,516","5,663",230,100,139,"6,914","2,477","4,437"
District - Tawang,Total,"9,477","7,026",132,"2,670","1,709",233,"1,769",1,287,225,"2,451",106,"2,345"
District - Tawang,Rural,"7,891","5,480",51,"1,312","1,637",221,"1,760",1,287,211,"2,411",90,"2,321"
District - Tawang,Urban,"1,586","1,546",81,"1,358",72,12,9,0,0,14,40,16,24
District - West Kameng,Total,"16,405","8,253",966,"5,001","1,045",569,593,14,20,45,"8,152",681,"7,471"
District - West Kameng,Rural,"12,542","4,876",719,"2,343",799,515,423,14,20,43,"7,666",566,"7,100"
District - West Kameng,Urban,"3,863","3,377",247,"2,658",246,54,170,0,0,2,486,115,371
District - East Kameng,Total,"14,610","4,703","1,061","1,979",793,87,334,54,0,395,"9,907",675,"9,232"
District - East Kameng,Rural,"11,078","2,442",240,808,594,66,314,27,0,393,"8,636",332,"8,304"
District - East Kameng,Urban,"3,532","2,261",821,"1,171",199,21,20,27,0,2,"1,271",343,928
District - Papum Pare,Total,"33,476","25,706","5,792","14,701","2,181","1,415","1,353",100,66,98,"7,770","1,457","6,313"
District - Papum Pare,Rural,"13,537","7,413","1,131","3,677","1,041",579,917,17,0,51,"6,124",489,"5,635"
District - Papum Pare,Urban,"19,939","18,293","4,661","11,024","1,140",836,436,83,66,47,"1,646",968,678
District - Upper Subansiri,Total,"15,541","6,658",494,"2,269","1,487",249,899,197,149,914,"8,883",851,"8,032"
District - Upper Subansiri,Rural,"12,952","4,455",318,707,"1,302",96,804,192,149,887,"8,497",701,"7,796"
District - Upper Subansiri,Urban,"2,589","2,203",176,"1,562",185,153,95,5,0,27,386,150,236
District - West Siang,Total,"20,474","15,800","1,041","6,039","3,474","1,009","1,808",112,0,"2,317","4,674",501,"4,173"
District - West Siang,Rural,"15,387","10,936",498,"2,366","3,236",819,"1,653",55,0,"2,309","4,451",392,"4,059"
District - West Siang,Urban,"5,087","4,864",543,"3,673",238,190,155,57,0,8,223,109,114
District - East Siang,Total,"19,095","11,735","1,546","3,919","2,743","1,161","2,110",54,12,190,"7,360",503,"6,857"
District - East Siang,Rural,"12,904","6,119",789,"1,512","1,988",623,995,34,0,178,"6,785",307,"6,478"
District - East Siang,Urban,"6,191","5,616",757,"2,407",755,538,"1,115",20,12,12,575,196,379
District - Upper Siang,Total,"7,186","4,413",409,"1,514",580,149,442,1,0,"1,318","2,773",123,"2,650"
District - Upper Siang,Rural,"5,652","3,183",127,650,540,140,412,0,0,"1,314","2,469",98,"2,371"
District - Upper Siang,Urban,"1,534","1,230",282,864,40,9,30,1,0,4,304,25,279
District - Changlang,Total,"28,428","19,606",663,"3,989","3,241","1,656","9,666",215,110,66,"8,822",476,"8,346"
District - Changlang,Rural,"24,444","15,970",481,"2,070","2,710","1,208","9,129",201,110,61,"8,474",370,"8,104"
District - Changlang,Urban,"3,984","3,636",182,"1,919",531,448,537,14,0,5,348,106,242
District - Tirap,Total,"19,485","16,937",693,"2,338","2,647","1,751","7,513",532,0,"1,463","2,548",582,"1,966"
District - Tirap,Rural,"15,458","13,235",276,899,"1,903","1,493","6,672",531,0,"1,461","2,223",503,"1,720"
District - Tirap,Urban,"4,027","3,702",417,"1,439",744,258,841,1,0,2,325,79,246
District - Lower Subansiri,Total,"15,134","11,232","1,143","4,829","1,923",590,"1,739",143,21,844,"3,902",338,"3,564"
District - Lower Subansiri,Rural,"12,066","8,211",716,"2,565","1,789",549,"1,597",130,21,844,"3,855",298,"3,557"
District - Lower Subansiri,Urban,"3,068","3,021",427,"2,264",134,41,142,13,0,0,47,40,7
District - Kurung Kumey,Total,"15,962","4,066",535,739,598,89,392,232,0,"1,481","11,896",564,"11,332"
District - Kurung Kumey,Rural,"15,417","3,627",478,499,497,87,353,232,0,"1,481","11,790",512,"11,278"
District - Kurung Kumey,Urban,545,439,57,240,101,2,39,0,0,0,106,52,54
District - Dibang Valley,Total,"1,871","1,311",203,274,325,26,401,6,0,76,560,107,453
District - Dibang Valley,Rural,"1,297",839,76,107,284,5,286,5,0,76,458,26,432
District - Dibang Valley,Urban,574,472,127,167,41,21,115,1,0,0,102,81,21
District - Lower Dibang Valley,Total,"10,883","6,143",309,"2,778",801,448,"1,510",164,34,99,"4,740",494,"4,246"
District - Lower Dibang Valley,Rural,"8,626","4,143",245,"1,323",708,278,"1,336",158,12,83,"4,483",430,"4,053"
District - Lower Dibang Valley,Urban,"2,257","2,000",64,"1,455",93,170,174,6,22,16,257,64,193
District - Lohit,Total,"29,407","17,327",480,"5,178","2,555","1,865","6,843",8,360,38,"12,080",911,"11,169"
District - Lohit,Rural,"22,412","11,087",297,"2,067","2,151","1,102","5,066",6,360,38,"11,325",778,"10,547"
District - Lohit,Urban,"6,995","6,240",183,"3,111",404,763,"1,777",2,0,0,755,133,622
District - Anjaw,Total,"4,180","1,200",133,371,175,269,210,32,0,10,"2,980",76,"2,904"
District - Anjaw,Rural,"4,060","1,123",83,353,174,269,202,32,0,10,"2,937",76,"2,861"
District - Anjaw,Urban,120,77,50,18,1,0,8,0,0,0,43,0,43
STATE - ASSAM,Total,"6,367,295","4,131,931","328,701","947,206","536,172","667,110","1,540,828","54,381","22,139","35,394","2,235,364","118,802","2,116,562"
STATE - ASSAM,Rural,"5,374,553","3,201,625","179,773","448,229","478,808","550,694","1,448,781","47,345","15,961","32,034","2,172,928","105,929","2,066,999"
STATE - ASSAM,Urban,"992,742","930,306","148,928","498,977","57,364","116,416","92,047","7,036","6,178","3,360","62,436","12,873","49,563"
District - Kokrajhar,Total,"180,071","52,532","5,191","17,139","6,929","10,779","10,372",894,345,883,"127,539","4,818","122,721"
District - Kokrajhar,Rural,"168,278","41,904","3,979","10,905","6,426","9,091","9,682",696,327,798,"126,374","4,717","121,657"
District - Kokrajhar,Urban,"11,793","10,628","1,212","6,234",503,"1,688",690,198,18,85,"1,165",101,"1,064"
District - Dhubri,Total,"414,689","179,665","10,773","28,457","27,169","27,202","78,819","5,541",665,"1,039","235,024","7,304","227,720"
District - Dhubri,Rural,"370,734","144,461","7,125","13,841","22,834","20,142","74,335","4,728",461,995,"226,273","6,776","219,497"
District - Dhubri,Urban,"43,955","35,204","3,648","14,616","4,335","7,060","4,484",813,204,44,"8,751",528,"8,223"
District - Goalpara,Total,"197,545","129,311","5,862","16,486","18,703","23,373","61,895","2,272",202,518,"68,234","2,713","65,521"
District - Goalpara,Rural,"168,874","104,937","4,395","8,036","15,310","18,630","55,983","2,014",115,454,"63,937","2,262","61,675"
District - Goalpara,Urban,"28,671","24,374","1,467","8,450","3,393","4,743","5,912",258,87,64,"4,297",451,"3,846"
District - Barpeta,Total,"338,472","243,504","11,212","30,938","39,927","28,521","126,284","5,044","1,001",577,"94,968","3,630","91,338"
District - Barpeta,Rural,"306,688","213,994","6,709","17,803","37,194","23,662","122,906","4,459",735,526,"92,694","3,363","89,331"
District - Barpeta,Urban,"31,784","29,510","4,503","13,135","2,733","4,859","3,378",585,266,51,"2,274",267,"2,007"
District - Marigaon,Total,"185,523","111,528","6,603","15,408","14,946","13,488","58,742","1,079",516,746,"73,995","3,168","70,827"
District - Marigaon,Rural,"169,007","96,614","5,014","8,262","13,711","11,623","55,925","1,039",303,737,"72,393","3,072","69,321"
District - Marigaon,Urban,"16,516","14,914","1,589","7,146","1,235","1,865","2,817",40,213,9,"1,602",96,"1,506"
District - Nagaon,Total,"560,857","422,431","26,184","71,690","50,549","54,359","210,334","3,872","2,601","2,842","138,426","7,580","130,846"
District - Nagaon,Rural,"480,208","345,629","16,129","35,487","45,550","43,163","197,359","3,354","2,184","2,403","134,579","6,721","127,858"
District - Nagaon,Urban,"80,649","76,802","10,055","36,203","4,999","11,196","12,975",518,417,439,"3,847",859,"2,988"
District - Sonitpur,Total,"386,899","228,882","18,380","65,039","32,623","34,055","73,091","2,376","1,728","1,590","158,017","6,917","151,100"
District - Sonitpur,Rural,"346,401","190,422","12,852","40,828","31,022","29,324","71,167","2,260","1,424","1,545","155,979","6,338","149,641"
District - Sonitpur,Urban,"40,498","38,460","5,528","24,211","1,601","4,731","1,924",116,304,45,"2,038",579,"1,459"
District - Lakhimpur,Total,"203,272","117,971","8,992","23,499","19,142","15,443","48,370","1,525",440,560,"85,301","3,196","82,105"
District - Lakhimpur,Rural,"181,790","97,627","5,732","14,245","18,056","12,422","44,863","1,464",300,545,"84,163","2,885","81,278"
District - Lakhimpur,Urban,"21,482","20,344","3,260","9,254","1,086","3,021","3,507",61,140,15,"1,138",311,827
District - Dhemaji,Total,"129,559","57,995","4,586","7,946","10,255","8,775","24,053","1,145",146,"1,089","71,564","3,427","68,137"
District - Dhemaji,Rural,"119,112","48,003","3,819","5,110","8,861","6,818","21,180","1,096",126,993,"71,109","3,357","67,752"
District - Dhemaji,Urban,"10,447","9,992",767,"2,836","1,394","1,957","2,873",49,20,96,455,70,385
District - Tinsukia,Total,"268,383","217,556","18,670","64,493","24,696","24,290","81,964","1,966",535,942,"50,827","5,249","45,578"
District - Tinsukia,Rural,"209,603","162,008","10,758","31,241","21,355","20,295","75,692","1,603",373,691,"47,595","3,421","44,174"
District - Tinsukia,Urban,"58,780","55,548","7,912","33,252","3,341","3,995","6,272",363,162,251,"3,232","1,828","1,404"
District - Dibrugarh,Total,"272,941","214,721","22,775","61,418","21,109","30,460","74,510","2,375",504,"1,570","58,220","5,732","52,488"
District - Dibrugarh,Rural,"218,256","161,992","11,281","28,505","18,694","27,366","72,513","2,109",240,"1,284","56,264","4,789","51,475"
District - Dibrugarh,Urban,"54,685","52,729","11,494","32,913","2,415","3,094","1,997",266,264,286,"1,956",943,"1,013"
District - Sivasagar,Total,"246,983","183,253","12,988","48,639","20,429","30,165","65,795","1,868","1,545","1,824","63,730","4,652","59,078"
District - Sivasagar,Rural,"220,760","158,805","9,807","33,754","19,402","27,331","63,754","1,745","1,335","1,677","61,955","4,195","57,760"
District - Sivasagar,Urban,"26,223","24,448","3,181","14,885","1,027","2,834","2,041",123,210,147,"1,775",457,"1,318"
District - Jorhat,Total,"233,118","155,435","18,142","51,504","16,372","22,014","42,745","1,593","1,462","1,603","77,683","3,864","73,819"
District - Jorhat,Rural,"181,811","107,081","8,250","23,711","14,209","18,023","39,238","1,186","1,085","1,379","74,730","3,326","71,404"
District - Jorhat,Urban,"51,307","48,354","9,892","27,793","2,163","3,991","3,507",407,377,224,"2,953",538,"2,415"
District - Golaghat,Total,"224,853","153,723","10,664","29,724","16,550","24,967","68,707","1,454",551,"1,106","71,130","3,426","67,704"
District - Golaghat,Rural,"202,469","131,864","7,003","18,741","15,229","21,619","66,633","1,339",372,928,"70,605","3,209","67,396"
District - Golaghat,Urban,"22,384","21,859","3,661","10,983","1,321","3,348","2,074",115,179,178,525,217,308
District - Karbi Anglong,Total,"176,991","96,932","6,056","16,600","18,671","11,467","40,907",933,898,"1,400","80,059","4,236","75,823"
District - Karbi Anglong,Rural,"152,873","74,151","4,481","7,355","15,925","8,513","34,974",850,679,"1,374","78,722","4,019","74,703"
District - Karbi Anglong,Urban,"24,118","22,781","1,575","9,245","2,746","2,954","5,933",83,219,26,"1,337",217,"1,120"
District - Dima Hasao,Total,"42,888","29,780","3,605","8,755","5,501","4,781","6,496",347,126,169,"13,108","1,740","11,368"
District - Dima Hasao,Rural,"29,499","16,843","2,046","2,613","4,395","2,656","4,739",156,87,151,"12,656","1,608","11,048"
District - Dima Hasao,Urban,"13,389","12,937","1,559","6,142","1,106","2,125","1,757",191,39,18,452,132,320
District - Cachar,Total,"368,043","298,041","20,581","54,732","43,194","74,687","95,689","3,471",387,"5,300","70,002","8,183","61,819"
District - Cachar,Rural,"299,194","232,066","11,617","21,583","38,298","64,723","88,101","2,827",185,"4,732","67,128","7,133","59,995"
District - Cachar,Urban,"68,849","65,975","8,964","33,149","4,896","9,964","7,588",644,202,568,"2,874","1,050","1,824"
District - Karimganj,Total,"247,247","210,254","8,954","35,296","25,714","54,160","77,472","4,584",902,"3,172","36,993","6,481","30,512"
District - Karimganj,Rural,"223,720","187,335","6,712","21,307","23,966","50,877","76,094","4,436",857,"3,086","36,385","6,137","30,248"
District - Karimganj,Urban,"23,527","22,919","2,242","13,989","1,748","3,283","1,378",148,45,86,608,344,264
District - Hailakandi,Total,"143,567","119,292","4,869","12,506","17,721","30,812","50,838","1,285",97,"1,164","24,275","3,345","20,930"
District - Hailakandi,Rural,"133,055","108,979","3,554","6,892","17,281","28,944","49,861","1,246",72,"1,129","24,076","3,253","20,823"
District - Hailakandi,Urban,"10,512","10,313","1,315","5,614",440,"1,868",977,39,25,35,199,92,107
District - Bongaigaon,Total,"150,287","84,687","5,522","23,929","8,145","11,890","33,276","1,171",516,238,"65,600","2,065","63,535"
District - Bongaigaon,Rural,"124,874","61,405","2,703","9,169","7,065","8,816","32,119",993,306,234,"63,469","1,766","61,703"
District - Bongaigaon,Urban,"25,413","23,282","2,819","14,760","1,080","3,074","1,157",178,210,4,"2,131",299,"1,832"
District - Chirang,Total,"97,259","27,951","2,550","8,686","5,089","4,055","6,457",402,154,558,"69,308","3,656","65,652"
District - Chirang,Rural,"89,657","21,494","2,249","5,796","4,130","2,722","5,637",356,84,520,"68,163","3,539","64,624"
District - Chirang,Urban,"7,602","6,457",301,"2,890",959,"1,333",820,46,70,38,"1,145",117,"1,028"
District - Kamrup,Total,"305,342","180,800","13,904","39,666","24,209","35,933","60,820","1,874","2,601","1,793","124,542","5,683","118,859"
District - Kamrup,Rural,"274,590","156,599","10,334","29,623","22,311","30,632","57,933","1,715","2,275","1,776","117,991","4,753","113,238"
District - Kamrup,Urban,"30,752","24,201","3,570","10,043","1,898","5,301","2,887",159,326,17,"6,551",930,"5,621"
District - Kamrup Metropolitan,Total,"290,388","268,146","56,376","153,201","10,824","26,760","16,411","1,509","2,184",881,"22,242","2,482","19,760"
District - Kamrup Metropolitan,Rural,"42,247","27,345","2,866","7,615","2,968","6,292","6,932",143,194,335,"14,902",373,"14,529"
District - Kamrup Metropolitan,Urban,"248,141","240,801","53,510","145,586","7,856","20,468","9,479","1,366","1,990",546,"7,340","2,109","5,231"
District - Nalbari,Total,"155,352","103,600","8,522","18,904","14,902","19,720","37,754","1,968",515,"1,315","51,752","2,816","48,936"
District - Nalbari,Rural,"137,639","87,643","6,580","12,907","13,606","16,193","34,749","1,810",515,"1,283","49,996","2,757","47,239"
District - Nalbari,Urban,"17,713","15,957","1,942","5,997","1,296","3,527","3,005",158,0,32,"1,756",59,"1,697"
District - Baksa,Total,"190,667","75,132","4,795","10,429","17,006","12,356","27,679","1,545",462,860,"115,535","4,365","111,170"
District - Baksa,Rural,"188,191","72,803","4,446","9,779","16,503","12,106","27,113","1,536",462,858,"115,388","4,360","111,028"
District - Baksa,Urban,"2,476","2,329",349,650,503,250,566,9,0,2,147,5,142
District - Darrang,Total,"188,052","95,080","5,924","16,580","13,880","17,527","38,745","1,241",516,667,"92,972","3,649","89,323"
District - Darrang,Rural,"175,393","83,453","4,048","11,479","13,045","15,087","37,629","1,196",325,644,"91,940","3,489","88,451"
District - Darrang,Urban,"12,659","11,627","1,876","5,101",835,"2,440","1,116",45,191,23,"1,032",160,872
District - Udalguri,Total,"168,047","73,729","6,021","15,542","11,917","15,071","22,603","1,047",540,988,"94,318","4,425","89,893"
District - Udalguri,Rural,"159,630","66,168","5,284","11,642","11,462","13,624","21,670",989,540,957,"93,462","4,311","89,151"
District - Udalguri,Urban,"8,417","7,561",737,"3,900",455,"1,447",933,58,0,31,856,114,742
STATE - BIHAR,Total,"18,940,629","4,367,236","342,578","3,024,873","438,088","326,322","147,533","39,246","13,587","35,009","14,573,393","214,847","14,358,546"
STATE - BIHAR,Rural,"16,926,958","2,978,607","197,297","1,963,185","367,703","259,289","122,690","28,899","9,765","29,779","13,948,351","171,411","13,776,940"
STATE - BIHAR,Urban,"2,013,671","1,388,629","145,281","1,061,688","70,385","67,033","24,843","10,347","3,822","5,230","625,042","43,436","581,606"
District - Pashchim Champaran,Total,"708,065","112,382","6,360","82,491","9,896","7,594","3,113","1,612",319,997,"595,683","7,301","588,382"
District - Pashchim Champaran,Rural,"635,151","73,088","4,307","49,510","8,012","6,454","2,350","1,395",153,907,"562,063","5,404","556,659"
District - Pashchim Champaran,Urban,"72,914","39,294","2,053","32,981","1,884","1,140",763,217,166,90,"33,620","1,897","31,723"
District - Purba Champaran,Total,"984,303","179,522","11,439","136,668","14,280","10,700","3,340","1,429",257,"1,409","804,781","7,940","796,841"
